"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CMC1",-1.07684860772653,8.11876275917773,-4.9311836693957,7.8346435136428e-06,0.0478012643260691,3.50719757181759
"SEPTIN6",-0.550347993839,7.36991852857298,-4.90091898877127,8.72291800934025e-06,0.0478012643260691,3.43478213270119
"RPS4Y1",2.82613013441097,7.96337958338027,4.71768267637125,1.66337950639071e-05,0.0478012643260691,2.83180742577252
"ZNF831",-0.692798169289383,4.71788460396342,-4.70508515543659,1.73831312391463e-05,0.0478012643260691,2.80152975161803
"DDX3Y",2.89536250477599,5.56760133510363,4.66505535924278,1.99901098619842e-05,0.0478012643260691,2.67859678954608
"NCR3",-0.907254951068295,5.34208235519567,-4.64689700636094,2.12952377714849e-05,0.0478012643260691,2.64167828742553
"TCEAL4",-0.941228089376917,4.1545572032266,-4.61178804156383,2.40590920968726e-05,0.0478012643260691,2.46155597757967
"SELL",-1.18711458900361,5.58487709265247,-4.59375626728922,2.56118220218708e-05,0.0478012643260691,2.47472542748764
"CRTAM",-0.777888068542804,4.89513335210146,-4.48462270774913,3.73224152702065e-05,0.0558884040837592,2.12504332463651
"MPI",-0.859194855206457,3.31250857925212,-4.48377584736479,3.74311192041787e-05,0.0558884040837592,1.94233976024854
"ATL1",1.52916085692765,1.8755961598375,4.3364109548488,6.18843496564179e-05,0.0735952028387446,1.07756407447517
"AGAP1",0.955470737189937,3.60331797854079,4.33579079941445,6.20145346394662e-05,0.0735952028387446,1.53037979777529
"CAPN12",-1.19642569564228,3.10495171183546,-4.28997283321455,7.24057778635205e-05,0.0735952028387446,1.35342628470459
"EPHX2",-1.02105534287474,2.23875318712671,-4.28751894930413,7.30076207977941e-05,0.0735952028387446,1.14255524763833
"RETREG1",-1.10863314324202,2.55137810259244,-4.28092550654203,7.46489041158956e-05,0.0735952028387446,1.21439592450336
"JUNB",-0.620793437961012,8.92737799148925,-4.26461555074312,7.88643255923859e-05,0.0735952028387446,1.28049483438707
"UTY",2.97437996940997,4.23288734398418,4.24544573208313,8.41147423829433e-05,0.0738774834423368,1.26315329083314
"PECAM1",-0.884329766184475,4.39899007349634,-4.21181755184579,9.41557023922327e-05,0.078102155134357,1.28197311781032
"METTL2B",-0.81711845314864,3.72643953986115,-4.17072094781113,0.00010801187511712,0.0840108262378206,1.11217110841925
"NUAK1",1.69459413239936,1.66622982516047,4.10478904093018,0.00013446127738396,0.0840108262378206,0.45340662798687
"PRKY",2.49938949744718,3.59767777059697,4.10475968493373,0.000134474345438809,0.0840108262378206,0.791209608842358
"SYTL2",0.682794966503223,5.58426899655856,4.09901252771474,0.000137056546233302,0.0840108262378206,0.948852592470991
"WAC-AS1",-0.567921463594907,4.7063105491569,-4.0983987897276,0.000137335117094463,0.0840108262378206,0.955409152716897
"HSD17B12",-0.78198832470095,3.23202726878502,-4.09371357298991,0.000139479825194149,0.0840108262378206,0.839621298216092
"AC009779.2",-1.23153609181159,1.15703238777896,-4.09115408838634,0.000140665103204441,0.0840108262378206,0.370883377740671
"MINDY3",0.614502481911234,3.75278682290093,4.02347839783176,0.000175785740422303,0.0997591593380477,0.683407228559281
"TNFSF8",-0.779068584571143,3.3534450387779,-4.01558403288361,0.000180396309833721,0.0997591593380477,0.63022603276285
"AFDN",1.25652794529615,2.90684773829784,3.97814893140934,0.000203896481206883,0.105445871019534,0.399643670053108
"IFIT5",0.810363986737326,4.40474272299506,3.96947883053677,0.000209746322402631,0.105445871019534,0.572921461184403
"EPG5",0.753084967568894,3.68774988790183,3.96216579222871,0.000214806083819418,0.105445871019534,0.501291315759778
"LEF1",-0.847008886762927,4.66863825948012,-3.95632925315624,0.000218928538048727,0.105445871019534,0.541050202115907
"GSC",1.43777880528286,0.606830853835205,3.94454053357037,0.000227488997405936,0.106144944383376,-0.163743243207998
"AC009509.1",-1.5279078085124,-0.200640020430534,-3.89946894516576,0.000263290513979363,0.10776230709485,-0.340383141644873
"LATS1",0.483345772515797,4.81201985765782,3.89297533937167,0.000268876030037828,0.10776230709485,0.358379096614424
"GRK6",-0.581399364964169,6.01424723190676,-3.89228174692117,0.000269479326413477,0.10776230709485,0.309593722596602
"MLLT3",-0.492202290242307,5.06651414807876,-3.88014660269291,0.000280247869774764,0.10776230709485,0.315065801399641
