"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MLLT3",-0.650196220519783,5.06529109055215,-5.83733364837393,3.22626542923857e-07,0.00393691342148665,6.53778553308675
"CRTAM",-0.963750170742332,4.8362891624592,-5.58020783297616,8.23007509215347e-07,0.00393691342148665,5.65622397159487
"TCEAL4",-1.16779038011901,4.17647142197678,-5.5633416860962,8.74892912692444e-07,0.00393691342148665,5.54404739331972
"RCAN3",-1.00150892679633,5.43649693835094,-5.42257940583794,1.45499458680155e-06,0.00393691342148665,5.1378634921817
"AL121944.1",-0.910196934503097,3.65252467845998,-5.41837019291818,1.47722772920473e-06,0.00393691342148665,5.00578244545588
"TXK",-1.21856315953467,3.94107223123848,-5.39205615791236,1.62402753722378e-06,0.00393691342148665,4.95808813898059
"LTB",-0.925660126827652,7.98318772992236,-5.33143787459404,2.01928185364321e-06,0.00419577922303436,4.74582056801292
"NELL2",-1.18155551013419,4.54782857069872,-5.25664689717774,2.63969708219692e-06,0.00420539143245223,4.56587748027946
"SELL",-1.33269787892641,5.53351290442552,-5.23381447307326,2.86412806997869e-06,0.00420539143245223,4.50265470264608
"PECAM1",-1.105164611267,4.52803587658353,-5.22023789834735,3.00639253376479e-06,0.00420539143245223,4.44651628895558
"GZMK",-1.48470383543299,8.66326511267726,-5.20446587134671,3.1804266591251e-06,0.00420539143245223,4.27889911975302
"PCAT1",-1.25292272721442,2.55487526571222,-5.16451690140005,3.66691193690914e-06,0.00444460284352861,3.97464701761474
"CCR4",-1.56528870364868,0.906496713167398,-5.12796123900519,4.17591508254902e-06,0.00467220652889811,3.37853600908624
"IL5RA",1.49753826175614,2.0931214239291,5.03360606405263,5.83363775744945e-06,0.00606073294157873,3.4152849360727
"KIF19",1.21102060646645,3.37464310520893,4.97132485753284,7.26682330085131e-06,0.00704639632739215,3.53723480301475
"TNFSF8",-0.806577571310596,3.45842586132064,-4.91201460775545,8.95088713044116e-06,0.00813691583201666,3.37406118666049
"SEPTIN6",-0.544769197972026,7.36773644168104,-4.80973155067695,1.27989658289821e-05,0.0109506445872085,3.0092125150677
"EFHD2",0.480612140211357,8.56401414116558,4.75902122239166,1.52680147183837e-05,0.0123374041154939,2.77721055043883
"NCK2",-0.669024915824784,5.81142560385214,-4.70309339271812,1.85335291438611e-05,0.0128902583419438,2.74090792675337
"PHACTR2",-0.820752190967032,5.96320471641874,-4.69252859509913,1.92229956981521e-05,0.0128902583419438,2.69908121210856
"IFIT2",2.7136028572472,5.60124341528523,4.68013513013807,2.00638450918506e-05,0.0128902583419438,2.68596587604266
"DUSP2",-0.858357266529763,8.49473010307362,-4.65858171975342,2.1612695530828e-05,0.0128902583419438,2.44826180026439
"IFIT3",2.78312995028356,3.65838234063533,4.64769119669814,2.24391906136174e-05,0.0128902583419438,2.57226389837762
"RPS4Y1",2.78034357317535,7.7175397546429,4.64371319401748,2.27487305311503e-05,0.0128902583419438,2.46118484972912
"ZEB2",0.522995058270235,8.0460762286503,4.63681178879295,2.32956863264967e-05,0.0128902583419438,2.40044493294176
"CMC1",-1.08663685550605,8.14410010358678,-4.62930602939508,2.39051415305375e-05,0.0128902583419438,2.37314143908444
"EPG5",0.792252383284379,3.81755767570294,4.62293434719714,2.44347257731983e-05,0.0128902583419438,2.50606787268621
"JUNB",-0.655666762953506,9.00114370584543,-4.61607411261444,2.50177418858628e-05,0.0128902583419438,2.28174873720024
"EPHX4",1.69993176333624,1.80845195729392,4.60823331619699,2.57007557178666e-05,0.0128902583419438,2.12273750850376
"TCF7",-0.700318988451637,6.70922320849176,-4.59138230672024,2.72309134406872e-05,0.0132024545331599,2.32914906050626
"PLXND1",1.05990109408185,3.89972260056244,4.56757001186059,2.95459591760272e-05,0.0138627734263005,2.33867887399233
"PATJ",-0.723275035660079,3.82157708042503,-4.51544014356231,3.53053605572941e-05,0.0150723472502442,2.17817601642515
"CLYBL",-1.11236787449487,2.31739260443421,-4.51049868906195,3.59050184427309e-05,0.0150723472502442,1.99087478113697
"AREG",-1.36616068889125,3.87501228793442,-4.50327582973407,3.67994512664464e-05,0.0150723472502442,2.14028964079022
"FRY",1.622239195976,2.05857389068413,4.50183791080391,3.69800914586097e-05,0.0150723472502442,1.9007436608086
"VSIG1",-1.14582009521502,1.70169534422635,-4.48537975969515,3.91102965313481e-05,0.0150723472502442,1.7955516031789
"AKR1C3",1.4861092186558,2.35792559480682,4.48527011443513,3.91248819137184e-05,0.0150723472502442,1.89921747615256
"DOCK5",1.43148040861018,1.98415572687613,4.47425981261074,4.06168475991911e-05,0.0150723472502442,1.80026803580507
"SAP30",0.557940185567278,4.9167929163024,4.46583458988339,4.17958573255913e-05,0.0150723472502442,2.02225132359814
"DDX3Y",2.96887429274552,5.21683450424314,4.46199820709474,4.23437098122233e-05,0.0150723472502442,2.01665367391458
"NUCB2",-0.542723007860912,6.9246374606551,-4.46100621353759,4.24865065149545e-05,0.0150723472502442,1.89635527446404
"IFNG-AS1",-1.40323250369255,2.84141361958287,-4.44712557857993,4.45345507052095e-05,0.0154227390477922,1.90307694333122
"TRAT1",-0.844277271162792,5.14838654812748,-4.41147450986082,5.02457918881511e-05,0.0166379387724302,1.84187080456363
"FGFBP2",1.00790019322455,8.71380485588444,4.41097111166331,5.03313376409027e-05,0.0166379387724302,1.63073958601785
"RNF157",-0.788459979454061,2.95157472690865,-4.37059335621407,5.76753075069178e-05,0.018641941059736,1.67670885429249
"AGAP1",1.04127259668962,3.40658176630017,4.33010505754529,6.60829994734129e-05,0.0208951571161041,1.59500546043831
"ANKRD28",0.767924235414223,5.34002980950925,4.30448633294999,7.20066013768603e-05,0.0218911252060325,1.49809258872978
"C16orf74",-1.04736238920065,1.99171204580184,-4.30350712106702,7.22429707727439e-05,0.0218911252060325,1.35163811368766
"CES1",1.27862622507935,3.8937772504581,4.26134761327177,8.31669554377756e-05,0.0246870074865805,1.40860327142435
"CCR7",-1.01075966636492,3.72128877067733,-4.25521566287885,8.48838991857567e-05,0.0246927262731366,1.38907291942161
